gname;family;nodes;edges;optimal;degree1;degree2;degree3;closeness;clustering;pagerank;weighted;uniform;random
cage_G_35.mtx;not available;30;150;3;5;5;5;5;5;5;5;5;46
cage_G_36.mtx;not available;42;210;2;3;3;3;3;3;3;3;3;42
cage_G_37.mtx;not available;62;372;2;3;3;3;3;3;3;3;3;56
cage_G_38.mtx;not available;50;350;4;6;6;6;6;6;6;6;6;52
cage_G_39.mtx;not available;94;752;4;5;5;5;5;5;5;5;5;66
cage_G_40.mtx;not available;114;912;2;2;2;2;2;2;2;2;2;58
cage_G_42.mtx;not available;146;1314;2;2;2;2;2;2;2;2;2;58
cage_G_43.mtx;not available;182;1820;2;3;2;2;2;3;3;2;3;64
cage_G_44.mtx;not available;266;3192;2;2;2;2;2;2;2;2;2;68
cage_G_45.mtx;not available;366;5124;2;2;2;2;2;2;2;2;2;68
ck104.mtx;2D/3D problem;104;1776;6;9;9;8;6;9;8;6;9;84
ck400.mtx;2D/3D problem;400;4920;6;9;9;8;6;9;8;7;9;9
cz148.mtx;2D/3D problem;148;2758;8;10;10;12;10;10;9;10;12;108
cz308.mtx;2D/3D problem;308;5748;8;8;11;11;10;11;9;10;11;108
grid1.mtx;2D/3D problem;252;952;2;4;4;4;2;4;4;2;4;4
grid1_dual.mtx;2D/3D problem;224;840;2;4;4;4;2;4;4;2;4;42
mcca.mtx;2D/3D problem;180;4958;34;34;34;34;34;34;34;34;34;342
nnc261.mtx;2D/3D problem;261;2700;2;2;3;2;2;2;2;2;3;4
odepa400.mtx;2D/3D problem;400;1602;3;3;3;3;3;3;3;3;3;3
pde225.mtx;2D/3D problem;225;1680;2;5;4;4;2;5;2;2;4;44
plat362.mtx;2D/3D problem;362;5424;7;11;10;10;9;11;11;10;12;126
plskz362.mtx;2D/3D problem;362;1760;3;5;5;5;3;5;5;3;5;54
problem1.mtx;2D/3D problem;415;4728;4;6;6;5;5;6;6;6;6;6
bwm200.mtx;chemical process simulation problem;200;1192;2;3;3;3;2;3;4;2;3;4
impcol_a.mtx;chemical process simulation problem;207;1128;4;4;5;5;5;5;5;5;6;56
impcol_c.mtx;chemical process simulation problem;137;720;4;5;5;6;5;6;4;6;6;54
impcol_d.mtx;chemical process simulation problem;425;2608;4;5;6;7;6;7;5;5;6;6
impcol_e.mtx;chemical process simulation problem;225;2504;12;12;13;13;12;13;12;13;12;126
west0132.mtx;chemical process simulation problem;132;816;4;5;6;6;5;6;5;5;7;62
west0156.mtx;chemical process simulation problem;156;742;3;4;5;4;5;5;4;4;5;5
west0167.mtx;chemical process simulation problem;167;986;4;5;5;6;5;6;5;5;6;6
