graphname,num_nodes,num_edges,degree1,degree2,degree3,closeness,clustering,pagerank,uniform,random,dynamic,saturation
xenon2.mtx,157464.0,3866688.0,51.0,51,49.0,46.0,52.0,54.0,50.0,49.0,42.0,43
nd2010.mtx,133769.0,312973.0,49.0,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49
rgg_n_2_19_s0.mtx,524284.0,3269766.0,33.0,33,35.0,35.0,41.0,34.0,35.0,38.0,32.0,32
power197k.mtx,197156.0,3698357.0,5480.0,5480,5480.0,5480.0,5480.0,5480.0,5480.0,5480.0,5480.0,5480
delaunay_n19.mtx,524288.0,1572823.0,22.0,22,22.0,22.0,22.0,22.0,23.0,22.2,22.0,22
Si41Ge41H72.mtx,185639.0,7598452.0,930.0,847,863.0,934.0,988.0,985.0,965.0,918.4,918.0,957
gsm_106857.mtx,589446.0,11174185.0,123.0,121,123.0,120.0,124.0,138.0,140.0,126.8,110.0,108
coAuthorsDBLP.mtx,299067.0,977676.0,337.0,337,337.0,337.0,337.0,337.0,337.0,337.0,337.0,337
test1.mtx,392908.0,12968200.0,99.0,105,106.0,94.0,100.0,100.0,93.0,100.4,93.0,93
ar2010.mtx,186211.0,452155.0,55.0,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55
ML_Laplace.mtx,377002.0,27689972.0,112.0,112,112.0,105.0,112.0,141.0,105.0,136.2,102.0,100
mono_500Hz.mtx,169410.0,5036288.0,719.0,719,719.0,719.0,728.0,719.0,719.0,719.0,719.0,719
vsp_mod2_pgp2_slptsk.mtx,101364.0,389368.0,1902.0,1902,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902.0,1902
kron_g500-logn18.mtx,210155.0,10583222.0,49163.0,49163,49163.0,49163.0,49163.0,49163.0,49163.0,49163.0,49163.0,49163
engine.mtx,143571.0,2424822.0,159.0,159,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159
hood.mtx,220542.0,5494489.0,112.0,112,112.0,112.0,112.0,105.0,112.0,93.4,105.0,91
nc2010.mtx,288987.0,708310.0,84.0,84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84
mo2010.mtx,343565.0,828284.0,85.0,85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85
sc2010.mtx,181908.0,446580.0,70.0,70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70
coPapersCiteseer.mtx,434102.0,16036720.0,1189.0,1189,1193.0,1198.0,1248.0,1189.0,1328.0,1189.8,1192.0,1210
nm2010.mtx,168609.0,415485.0,207.0,207,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207
ma2010.mtx,157508.0,388305.0,68.0,68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68
af_3_k101.mtx,503625.0,9027150.0,50.0,50,50.0,50.0,50.0,65.0,50.0,59.4,45.0,35
ch7-8-b5.mtx,141120.0,846720.0,47.0,47,49.0,48.0,47.0,49.0,47.0,45.2,49.0,41
ohne2.mtx,181343.0,11063545.0,3441.0,3441,3441.0,3441.0,3441.0,3441.0,3441.0,3441.0,3441.0,3441
wave.mtx,156317.0,1059331.0,45.0,45,45.0,45.0,45.0,45.0,48.0,45.0,45.0,45
Ga10As10H30.mtx,113081.0,3114357.0,747.0,759,749.0,765.0,826.0,975.0,1011.0,786.8,755.0,775
para-6.mtx,155924.0,5416358.0,6931.0,6931,6931.0,6931.0,6931.0,6931.0,6931.0,6931.0,6931.0,6931
msdoor.mtx,415863.0,10328399.0,105.0,105,112.0,105.0,105.0,111.0,105.0,93.0,91.0,88
bmw3_2.mtx,227362.0,5757996.0,336.0,336,336.0,336.0,336.0,336.0,336.0,336.0,336.0,336
rgg_n_2_17_s0.mtx,131070.0,728753.0,30.0,30,34.0,34.0,34.0,30.0,33.0,33.4,31.0,32
turon_m.mtx,189924.0,912345.0,22.0,21,22.0,21.0,22.0,24.0,23.0,25.6,21.0,20
md2010.mtx,145247.0,350189.0,69.0,69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69
al2010.mtx,252266.0,615241.0,77.0,77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77
preferentialAttachment.mtx,100000.0,499985.0,984.0,984,984.0,984.0,984.0,984.0,984.0,984.0,984.0,984
Hardesty1.mtx,938905.0,6539157.0,19.0,22,24.0,22.0,22.0,26.0,19.0,27.0,20.0,21
c-73b.mtx,169422.0,724348.0,39937.0,39937,39937.0,39937.0,39937.0,39937.0,39938.0,39937.0,39938.0,39937
mario002.mtx,389874.0,1167685.0,12.0,12,12.0,11.0,12.0,12.0,12.0,13.2,10.0,11
coAuthorsCiteseer.mtx,227320.0,814134.0,1373.0,1373,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0,1373
analytics.mtx,303813.0,1129939.0,25666.0,25666,25666.0,25666.0,25666.0,25666.0,25666.0,25666.0,25666.0,25666
inline_1.mtx,503712.0,18660027.0,843.0,843,843.0,843.0,843.0,843.0,843.0,843.0,843.0,843
Dubcova3.mtx,146689.0,1891669.0,75.0,75,75.0,57.0,75.0,75.0,73.0,69.8,57.0,57
Fault_639.mtx,638802.0,14626683.0,318.0,318,318.0,318.0,321.0,318.0,318.0,318.0,318.0,318
bmwcra_1.mtx,148770.0,5396386.0,498.0,480,483.0,363.0,506.0,485.0,477.0,403.0,361.0,352
offshore.mtx,259789.0,2251231.0,44.0,42,43.0,45.0,43.0,46.0,46.0,45.4,41.0,37
cont-300.mtx,180895.0,539396.0,11.0,11,12.0,10.0,11.0,12.0,11.0,13.2,12.0,6
m14b.mtx,214765.0,1679018.0,44.0,42,41.0,41.0,43.0,44.0,41.0,44.8,41.0,41
BenElechi1.mtx,245874.0,6698185.0,93.0,90,90.0,76.0,80.0,102.0,78.0,87.6,78.0,59
cage12.mtx,130228.0,2032536.0,74.0,71,75.0,93.0,95.0,79.0,97.0,86.6,75.0,66
mi2010.mtx,329885.0,789045.0,59.0,59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59
imagesensor.mtx,118758.0,1893170.0,36.0,37,38.0,39.0,38.0,42.0,34.0,40.4,35.0,32
Ga41As41H72.mtx,268096.0,9378286.0,761.0,794,795.0,841.0,913.0,1046.0,829.0,881.4,779.0,851
caidaRouterLevel.mtx,192244.0,609066.0,1072.0,1072,1072.0,1072.0,1072.0,1072.0,1072.0,1072.0,1072.0,1072
ecology1.mtx,1000000.0,2998000.0,7.0,7,7.0,7.0,7.0,10.0,7.0,11.0,9.0,5
helm2d03.mtx,392257.0,1567096.0,15.0,15,15.0,15.0,15.0,16.0,15.0,15.0,14.0,12
usroads.mtx,129164.0,165435.0,9.0,10,9.0,9.0,9.0,10.0,8.0,10.0,9.0,8
fem_hifreq_circuit.mtx,491100.0,20239237.0,128.0,126,126.0,125.0,127.0,137.0,134.0,129.8,116.0,114
FEM_3D_thermal2.mtx,147900.0,3489300.0,33.0,36,33.0,46.0,33.0,56.0,30.0,54.8,42.0,40
x104.mtx,108384.0,5138004.0,336.0,324,324.0,324.0,324.0,348.0,324.0,325.4,324.0,324
lung2.mtx,109460.0,492564.0,10.0,11,12.0,8.0,10.0,16.0,8.0,14.2,8.0,8
ky2010.mtx,161672.0,393889.0,82.0,82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82
tmt_sym.mtx,726713.0,2903837.0,14.0,15,15.0,14.0,14.0,15.0,13.0,15.2,12.0,12
ne2010.mtx,193352.0,456927.0,66.0,66,67.0,67.0,66.0,66.0,67.0,66.0,66.0,67
citationCiteseer.mtx,268495.0,1156647.0,1319.0,1319,1319.0,1319.0,1319.0,1319.0,1319.0,1319.0,1319.0,1319
in2010.mtx,267071.0,640858.0,54.0,54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54
ecology2.mtx,999999.0,2997995.0,8.0,8,9.0,7.0,8.0,10.0,7.0,11.0,9.0,5
pkustk14.mtx,151926.0,7494215.0,353.0,342,352.0,358.0,357.0,358.0,393.0,345.0,339.0,335
va2010.mtx,285762.0,701064.0,103.0,103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103
Baumann.mtx,112211.0,760631.0,13.0,13,12.0,13.0,13.0,16.0,12.0,16.0,15.0,12
CoupCons3D.mtx,416800.0,22322336.0,116.0,112,112.0,128.0,116.0,120.0,116.0,110.0,116.0,93
dielFilterV2clx.mtx,607232.0,12958252.0,162.0,158,160.0,158.0,165.0,164.0,165.0,161.2,158.0,158
3Dspectralwave.mtx,680943.0,17165766.0,186.0,184,185.0,193.0,186.0,202.0,218.0,229.8,173.0,161
HTC_336_4438.mtx,226340.0,565431.0,7397.0,7396,7394.0,7397.0,7397.0,7397.0,7401.0,7394.0,7401.0,7394
F1.mtx,343791.0,13590452.0,435.0,435,435.0,435.0,435.0,435.0,438.0,435.4,435.0,435
144.mtx,144649.0,1074393.0,38.0,37,38.0,37.0,37.0,38.0,42.0,40.4,32.0,33
apache2.mtx,715176.0,2766523.0,13.0,13,13.0,14.0,13.0,18.0,13.0,16.2,15.0,12
fe_ocean.mtx,143437.0,409593.0,13.0,14,14.0,13.0,13.0,16.0,13.0,15.8,15.0,12
mn2010.mtx,259777.0,613551.0,312.0,312,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312
Emilia_923.mtx,923136.0,20964171.0,105.0,120,123.0,102.0,102.0,135.0,102.0,96.4,99.0,79
luxembourg_osm.mtx,114599.0,119666.0,7.0,7,7.0,8.0,7.0,8.0,8.0,8.0,7.0,7
coPapersDBLP.mtx,540486.0,15245729.0,3300.0,3300,3300.0,3300.0,3300.0,3300.0,3312.0,3300.0,3300.0,3300
shipsec8.mtx,114919.0,3384159.0,154.0,144,134.0,132.0,161.0,169.0,144.0,132.8,132.0,132
wa2010.mtx,195574.0,473716.0,159.0,159,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159
dblp-2010.mtx,300647.0,807700.0,239.0,239,240.0,245.0,253.0,239.0,274.0,242.4,239.0,239
wv2010.mtx,135218.0,331461.0,95.0,95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95
thermomech_dM.mtx,204316.0,813716.0,15.0,14,15.0,14.0,15.0,15.0,15.0,15.0,13.0,13
la2010.mtx,204447.0,490317.0,582.0,582,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582
ca2010.mtx,710145.0,1744683.0,142.0,142,142.0,142.0,142.0,142.0,142.0,142.0,142.0,142
SiO2.mtx,155331.0,5719417.0,2786.0,2790,2791.0,2788.0,2853.0,2789.0,2834.0,2783.8,2780.0,2782
598a.mtx,110971.0,741934.0,36.0,38,37.0,32.0,37.0,38.0,41.0,39.4,30.0,27
cage13.mtx,445315.0,7479343.0,97.0,97,103.0,114.0,117.0,104.0,117.0,111.2,99.0,90
parabolic_fem.mtx,525825.0,2100225.0,14.0,14,14.0,11.0,14.0,14.0,14.0,15.0,10.0,7
Si87H76.mtx,240369.0,5451000.0,467.0,525,491.0,501.0,520.0,469.0,566.0,463.6,459.0,486
az2010.mtx,241666.0,598047.0,138.0,138,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138
Ge87H76.mtx,112985.0,4002590.0,664.0,610,571.0,602.0,701.0,695.0,688.0,667.8,593.0,621
com-Amazon.mtx,334863.0,925872.0,550.0,550,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550
G_n_pin_pout.mtx,99995.0,501198.0,35.0,34,35.0,35.0,37.0,36.0,41.0,40.8,35.0,31
cop20k_A.mtx,99843.0,1362087.0,103.0,95,96.0,87.0,101.0,108.0,103.0,96.2,82.0,81
mt2010.mtx,132288.0,319334.0,140.0,140,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140
c-big.mtx,345241.0,1343126.0,19578.0,19578,19578.0,19578.0,19578.0,19578.0,19578.0,19578.0,19578.0,19578
ga2010.mtx,291086.0,709028.0,86.0,86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86
TEM152078.mtx,152078.0,3305702.0,129.0,130,134.0,132.0,133.0,141.0,137.0,133.0,125.0,114
fl2010.mtx,484481.0,1173147.0,178.0,178,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178
ship_003.mtx,121728.0,4103881.0,162.0,168,162.0,162.0,162.0,168.0,180.0,151.4,150.0,144
PFlow_742.mtx,290885.0,18940627.0,7089.0,7089,7089.0,7089.0,7089.0,7089.0,7089.0,7089.0,7089.0,7089
fullb.mtx,199187.0,5953632.0,150.0,144,144.0,144.0,156.0,156.0,156.0,144.0,144.0,144
oh2010.mtx,365344.0,884120.0,63.0,63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63
3Dspectralwave2.mtx,292008.0,7307376.0,185.0,185,184.0,181.0,187.0,207.0,215.0,228.8,171.0,158
TEM181302.mtx,181302.0,4010156.0,135.0,130,136.0,136.0,137.0,144.0,141.0,134.4,130.0,120
nj2010.mtx,169588.0,414956.0,61.0,61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61
tx2010.mtx,914231.0,2228136.0,122.0,122,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122
or2010.mtx,196621.0,489756.0,121.0,121,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121
tn2010.mtx,240116.0,596983.0,90.0,90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90
barrier2-3.mtx,113076.0,3805068.0,7031.0,7031,7031.0,7031.0,7031.0,7031.0,7031.0,7031.0,7031.0,7031
usroads-48.mtx,126146.0,161950.0,9.0,10,9.0,9.0,9.0,10.0,8.0,9.6,9.0,8
Ge99H100.mtx,112985.0,4282190.0,663.0,599,574.0,609.0,699.0,679.0,708.0,670.4,591.0,624
radiation.mtx,223104.0,7637688.0,3498.0,3498,3498.0,3498.0,3498.0,3498.0,3498.0,3498.0,3498.0,3498
CO.mtx,221119.0,3943588.0,329.0,337,336.0,334.0,412.0,334.0,379.0,334.0,325.0,324
wi2010.mtx,253096.0,604702.0,61.0,61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61
barrier2-12.mtx,115625.0,3897557.0,8437.0,8437,8437.0,8437.0,8437.0,8437.0,8437.0,8437.0,8437.0,8437
Ga19As19H42.mtx,133123.0,4508981.0,749.0,759,796.0,846.0,824.0,916.0,809.0,823.2,800.0,818
audikw_1.mtx,943695.0,39297771.0,354.0,345,345.0,345.0,345.0,345.0,369.0,346.0,345.0,345
scircuit.mtx,170998.0,958936.0,353.0,353,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353
halfb.mtx,224617.0,6306219.0,132.0,132,144.0,132.0,132.0,156.0,144.0,126.2,120.0,120
hvdc2.mtx,189860.0,1347273.0,61.0,60,60.0,65.0,66.0,62.0,67.0,63.0,62.0,60
ia2010.mtx,216007.0,510585.0,50.0,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50
smallworld.mtx,100000.0,499998.0,27.0,25,25.0,26.0,26.0,27.0,27.0,28.0,26.0,23
dielFilterV3clx.mtx,420408.0,16653308.0,312.0,303,303.0,303.0,315.0,345.0,308.0,305.6,303.0,303
bmw7st_1.mtx,141347.0,3740507.0,435.0,435,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435
tmt_unsym.mtx,917825.0,4584801.0,8.0,8,8.0,7.0,8.0,10.0,7.0,11.0,9.0,5
ok2010.mtx,269118.0,637074.0,66.0,66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66
pa2010.mtx,421545.0,1029231.0,65.0,65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65
hcircuit.mtx,105676.0,513072.0,1399.0,1399,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399.0,1399
ny2010.mtx,350167.0,854772.0,62.0,62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62
G2_circuit.mtx,150102.0,438388.0,9.0,11,10.0,11.0,9.0,11.0,10.0,11.2,10.0,8
CurlCurl_2.mtx,806529.0,4864159.0,25.0,26,26.0,24.0,27.0,29.0,25.0,30.0,24.0,22
co2010.mtx,201062.0,487287.0,121.0,121,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121
ford2.mtx,100196.0,322442.0,33.0,33,33.0,33.0,40.0,33.0,35.0,34.0,33.0,33
delaunay_n18.mtx,262144.0,786396.0,22.0,22,22.0,22.0,22.0,22.0,24.0,22.4,22.0,22
d_pretok.mtx,182730.0,885416.0,21.0,22,22.0,21.0,21.0,24.0,22.0,25.2,20.0,20
vsp_finan512_scagr7-2c_rlfddd.mtx,139752.0,552020.0,670.0,670,670.0,670.0,670.0,670.0,670.0,670.0,670.0,670
id2010.mtx,149842.0,364132.0,151.0,151,151.0,151.0,151.0,151.0,151.0,151.0,151.0,151
