graphname,num_nodes,num_edges,degree1,degree2,degree3,closeness,clustering,pagerank,uniform,random,dynamic,saturation
fullb.mtx,199187.0,5953632.0,48,48.0,48.0,48.0,48.0,42.0,48.0,41.8,48.0,38
oh2010.mtx,365344.0,884120.0,6,6.0,6.0,6.0,6.0,6.0,6.0,7.2,6.0,5
3Dspectralwave2.mtx,292008.0,7307376.0,20,20.0,21.0,23.0,20.0,22.0,24.0,29.8,20.0,18
TEM181302.mtx,181302.0,4010156.0,28,28.0,28.0,28.0,28.0,28.0,31.0,28.6,28.0,25
nj2010.mtx,169588.0,414956.0,6,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,5
tx2010.mtx,914231.0,2228136.0,6,6.0,7.0,6.0,6.0,6.0,7.0,7.8,6.0,5
or2010.mtx,196621.0,489756.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.6,6.0,5
tn2010.mtx,240116.0,596983.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
barrier2-3.mtx,113076.0,3805068.0,30,30.0,30.0,30.0,30.0,30.0,29.0,28.0,30.0,23
usroads-48.mtx,126146.0,161950.0,4,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4
Ge99H100.mtx,112985.0,4282190.0,223,223.0,223.0,223.0,224.0,223.0,224.0,223.6,223.0,223
radiation.mtx,223104.0,7637688.0,20,23.0,23.0,22.0,21.0,20.0,20.0,22.4,22.0,18
TSOPF_FS_b39_c30.mtx,120216.0,1575639.0,21,21.0,22.0,22.0,23.0,21.0,22.0,26.6,21.0,21
CO.mtx,221119.0,3943588.0,150,150.0,150.0,150.0,151.0,150.0,151.0,150.0,150.0,150
wi2010.mtx,253096.0,604702.0,6,6.0,6.0,6.0,6.0,6.0,7.0,7.2,6.0,5
barrier2-12.mtx,115625.0,3897557.0,30,30.0,30.0,29.0,30.0,30.0,29.0,28.2,30.0,24
Ga19As19H42.mtx,133123.0,4508981.0,388,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388
audikw_1.mtx,943695.0,39297771.0,51,48.0,51.0,52.0,51.0,51.0,54.0,49.2,51.0,42
scircuit.mtx,170998.0,958936.0,8,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,7
halfb.mtx,224617.0,6306219.0,48,48.0,48.0,48.0,48.0,48.0,48.0,41.0,48.0,41
hvdc2.mtx,189860.0,1347273.0,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28
