gname;family;nodes;edges;degree1;degree2;degree3;closeness;clustering;pagerank;weighted;uniform;;degree1;degree2;degree3;closeness;clustering;pagerank;weighted
west0132.mtx;chemical process simulation problem;132;816;23;23;23;23;24;24;23;25;;1;1;1;1;1,043478261;1,043478261;1
impcol_e.mtx;chemical process simulation problem;225;2504;49;48;52;52;58;48;48;53;;1,020833333;1;1,083333333;1,083333333;1,208333333;1;1
west0497.mtx;chemical process simulation problem;497;3442;58;58;58;58;58;58;58;58;;1;1;1;1;1;1;1
impcol_c.mtx;chemical process simulation problem;137;720;16;15;15;16;16;16;16;18;;1,066666667;1;1;1,066666667;1,066666667;1,066666667;1,066666667
west0167.mtx;chemical process simulation problem;167;986;21;21;21;21;21;22;21;22;;1;1;1;1;1;1,047619048;1
rajat05.mtx;circuit simulation problem;301;2172;26;26;26;26;26;26;26;26;;1;1;1;1;1;1;1
rajat14.mtx;circuit simulation problem;180;2664;163;163;163;163;163;163;163;163;;1;1;1;1;1;1;1
rajat11.mtx;circuit simulation problem;135;1360;44;44;44;44;44;44;44;44;;1;1;1;1;1;1;1
oscil_trans_01.mtx;circuit simulation problem;430;2436;13;13;13;13;13;13;13;13;;1;1;1;1;1;1;1
Trefethen_200.mtx;combinatorial problem;200;2690;32;31;32;30;35;31;30;37;;1,032258065;1;1,032258065;0,967741935;1,129032258;1;0,967741935
Trefethen_300.mtx;combinatorial problem;300;4378;36;36;36;35;38;39;35;40;;1;1;1;0,972222222;1,055555556;1,083333333;0,972222222
Trefethen_500.mtx;combinatorial problem;500;7978;41;39;39;40;43;41;38;44;;1,051282051;1;1;1,025641026;1,102564103;1,051282051;0,974358974
Trefethen_200b.mtx;combinatorial problem;199;2674;30;31;31;31;37;33;31;37;;0,967741935;1;1;1;1,193548387;1,064516129;1
n3c6-b1.mtx;combinatorial problem;105;420;22;22;20;22;20;23;22;24;;1;1;0,909090909;1;0,909090909;1,045454545;1
Trefethen_150.mtx;combinatorial problem;150;1890;30;30;32;30;32;30;30;32;;1;1;1,066666667;1;1,066666667;1;1
tols340.mtx;computational fluid dynamics problem;340;3848;90;90;90;90;90;90;90;90;;1;1;1;1;1;1;1
ex2.mtx;computational fluid dynamics problem;441;26398;133;125;125;125;135;147;125;154;;1,064;1;1;1;1,08;1,176;1
poisson2D.mtx;computational fluid dynamics problem;367;4100;13;12;12;11;13;13;11;14;;1,083333333;1;1;0,916666667;1,083333333;1,083333333;0,916666667
olm500.mtx;computational fluid dynamics problem;500;2992;8;8;8;6;9;8;6;9;;1;1;1;0,75;1,125;1;0,75
ex1.mtx;computational fluid dynamics problem;216;8272;62;59;59;59;61;64;59;73;;1,050847458;1;1;1;1,033898305;1,084745763;1
olm100.mtx;computational fluid dynamics problem;100;592;8;8;9;6;9;8;6;7;;1;1;1,125;0,75;1,125;1;0,75
lnsp_131.mtx;computational fluid dynamics problem;131;848;14;15;15;15;16;15;14;17;;0,933333333;1;1;1;1,066666667;1;0,933333333
rdb200.mtx;computational fluid dynamics problem;200;1840;11;11;10;9;11;12;9;11;;1;1;0,909090909;0,818181818;1;1,090909091;0,818181818
lns_131.mtx;computational fluid dynamics problem;131;848;15;15;15;15;16;15;14;17;;1;1;1;1;1,066666667;1;0,933333333
tub100.mtx;computational fluid dynamics problem;100;592;5;7;7;4;5;5;4;6;;0,714285714;1;1;0,571428571;0,714285714;0,714285714;0,571428571
saylr1.mtx;computational fluid dynamics problem;238;1780;10;9;8;7;10;9;7;10;;1,111111111;1;0,888888889;0,777777778;1,111111111;1;0,777777778
steam1.mtx;computational fluid dynamics problem;240;7044;27;27;24;27;27;28;26;32;;1;1;0,888888889;1;1;1,037037037;0,962962963
rdb450.mtx;computational fluid dynamics problem;450;4260;12;11;12;8;12;11;6;12;;1,090909091;1;1,090909091;0,727272727;1,090909091;1;0,545454545
GD99_c.mtx;directed graph;105;298;8;7;7;6;7;7;6;7;;1,142857143;1;1;0,857142857;1;1;0,857142857
Harvard500.mtx;directed graph;500;5126;201;201;201;201;201;201;201;201;;1;1;1;1;1;1;1
GD96_d.mtx;directed graph;180;458;28;28;28;28;28;28;28;28;;1;1;1;1;1;1;1
GD00_a.mtx;directed graph;352;768;44;44;44;44;44;44;44;44;;1;1;1;1;1;1;1
GD97_c.mtx;directed multigraph;452;920;76;76;76;76;76;76;76;76;;1;1;1;1;1;1;1
SmallW.mtx;directed multigraph;233;1988;148;148;148;148;148;148;148;148;;1;1;1;1;1;1;1
hor_131.mtx;directed weighted graph;434;8552;41;41;41;41;43;41;41;41;;1;1;1;1;1,048780488;1;1
celegansneural.mtx;directed weighted graph;297;4690;135;135;135;135;135;135;135;135;;1;1;1;1;1;1;1
cage7.mtx;directed weighted graph;340;5488;22;25;25;25;27;24;25;27;;0,88;1;1;1;1,08;0,96;1
GD01_a.mtx;directed weighted graph;259;1290;22;21;22;22;24;22;21;26;;1,047619048;1;1,047619048;1,047619048;1,142857143;1,047619048;1
gre_216b.mtx;directed weighted graph;216;1320;14;13;12;12;14;16;12;16;;1,076923077;1;0,923076923;0,923076923;1,076923077;1,230769231;0,923076923
gre_185.mtx;directed weighted graph;185;1640;17;15;14;14;17;18;13;19;;1,133333333;1;0,933333333;0,933333333;1,133333333;1,2;0,866666667
gre_343.mtx;directed weighted graph;343;2184;15;13;13;13;15;18;12;17;;1,153846154;1;1;1;1,153846154;1,384615385;0,923076923
gre_115.mtx;directed weighted graph;115;612;12;11;11;12;12;12;11;14;;1,090909091;1;1;1,090909091;1,090909091;1,090909091;1
bfwb398.mtx;electromagnetics problem;398;2512;18;16;17;15;17;19;16;20;;1,125;1;1,0625;0,9375;1,0625;1,1875;1
mhdb416.mtx;electromagnetics problem;416;1896;12;11;12;10;13;12;10;13;;1,090909091;1;1,090909091;0,909090909;1,181818182;1,090909091;0,909090909
bfwa398.mtx;electromagnetics problem;398;6560;25;24;23;23;27;28;23;30;;1,041666667;1;0,958333333;0,958333333;1,125;1,166666667;0,958333333
qc324.mtx;electromagnetics problem;324;26406;162;162;162;162;162;162;162;163;;1;1;1;1;1;1;1
mhda416.mtx;electromagnetics problem;416;16802;44;44;48;39;44;47;39;50;;1;1;1,090909091;0,886363636;1;1,068181818;0,886363636
utm300.mtx;electromagnetics problem;300;5710;40;39;39;38;46;45;37;46;;1,025641026;1;1;0,974358974;1,179487179;1,153846154;0,948717949
ash292.mtx;least squares problem;292;1916;15;16;17;15;16;16;15;17;;0,9375;1;1,0625;0,9375;1;1;0,9375
arc130.mtx;materials problem;130;2304;125;125;125;125;125;125;125;125;;1;1;1;1;1;1;1
cage_G_32.mtx;not available;26;104;14;14;14;14;14;14;14;14;;1;1;1;1;1;1;1
cage_G_21.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_34.mtx;not available;80;320;9;9;9;9;9;9;9;9;;1;1;1;1;1;1;1
cage_G_09.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_10.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_44.mtx;not available;266;3192;133;133;133;133;133;133;133;133;;1;1;1;1;1;1;1
cage_G_45.mtx;not available;366;5124;183;183;183;183;183;183;183;183;;1;1;1;1;1;1;1
cage_G_08.mtx;not available;58;174;6;6;6;8;6;6;8;6;;1;1;1;1,333333333;1;1;1,333333333
cage_G_39.mtx;not available;94;752;28;28;28;28;28;28;28;28;;1;1;1;1;1;1;1
cage_G_20.mtx;not available;58;174;8;8;8;7;8;8;7;8;;1;1;1;0,875;1;1;0,875
cage_G_25.mtx;not available;70;210;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
cage_G_14.mtx;not available;58;174;7;7;7;8;7;7;8;7;;1;1;1;1,142857143;1;1;1,142857143
cage_G_11.mtx;not available;58;174;7;7;7;7;7;7;7;7;;1;1;1;1;1;1;1
